# Scryfall Tagger function-tag catalog (source: Tagger GraphQL API)
# Tag type: ORACLE_CARD_TAG (function / otag: search filter)
# Total reported by Tagger: 4524; slugs written here: 4524
# Format: <slug>\t<name>, sorted by slug.
# Note: `cycle-*` slugs are Tagger's internal per-set bookkeeping and are
#       usually NOT useful for card search.
40k-model	40k model
cycle-ltr-landcycler	cycle-ltr-landcycler
cycle-ltr-legendary-land	cycle-ltr-legendary-land
cycle-ltr-r-saga	cycle-ltr-r-saga
cycle-ltr-r-two-color	cycle-ltr-r-two-color
cycle-ltr-u-saga	cycle-ltr-u-saga
cycle-m10-checkland	cycle-m10-checkland
cycle-m10-enemy-hate	cycle-m10-enemy-hate
cycle-m10-typal-lord	cycle-m10-typal-lord
cycle-m11-c-pw-signature	cycle-m11-c-pw-signature
cycle-m11-enemy-hate	cycle-m11-enemy-hate
cycle-m11-leyline	cycle-m11-leyline
cycle-m11-titan	cycle-m11-titan
cycle-m11-typal-lord	cycle-m11-typal-lord
cycle-m11-u-pw-signature	cycle-m11-u-pw-signature
cycle-m12-artifact-of-empires	cycle-m12-artifact-of-empires
cycle-m12-c-pw-signature	cycle-m12-c-pw-signature
cycle-m12-mage	cycle-m12-mage
cycle-m12-phantasmal	cycle-m12-phantasmal
cycle-m12-planeswalker	cycle-m12-planeswalker
cycle-m12-r-pw-signature	cycle-m12-r-pw-signature
cycle-m13-legend	cycle-m13-legend
cycle-m13-legend-spell	cycle-m13-legend-spell
cycle-m13-planeswalker	cycle-m13-planeswalker
cycle-m13-pw-hallmark	cycle-m13-pw-hallmark
cycle-m13-pw-signature	cycle-m13-pw-signature
cycle-m13-sedge-creature	cycle-m13-sedge-creature
cycle-m13-shandalar-ring	cycle-m13-shandalar-ring
cycle-m14-iconic-creature	cycle-m14-iconic-creature
cycle-m14-magus-staff	cycle-m14-magus-staff
cycle-m14-planeswalker	cycle-m14-planeswalker
cycle-m14-pw-signature	cycle-m14-pw-signature
cycle-m14-r-enemy-hate	cycle-m14-r-enemy-hate
cycle-m14-r-sliver	cycle-m14-r-sliver
cycle-m15-legend	cycle-m15-legend
cycle-m15-paragon	cycle-m15-paragon
cycle-m15-planeswalker	cycle-m15-planeswalker
cycle-m15-same-color-enhancer	cycle-m15-same-color-enhancer
cycle-m15-sedge-creature	cycle-m15-sedge-creature
cycle-m15-sliver	cycle-m15-sliver
cycle-m15-soul	cycle-m15-soul
cycle-m15-wall	cycle-m15-wall
cycle-m19-bolas-reign	cycle-m19-bolas-reign
cycle-m19-dig-spell	cycle-m19-dig-spell
cycle-m19-draft-signpost	cycle-m19-draft-signpost
cycle-m19-elder-dragon	cycle-m19-elder-dragon
cycle-m19-mare	cycle-m19-mare
cycle-m19-monocolor-legend	cycle-m19-monocolor-legend
cycle-m19-planeswalker	cycle-m19-planeswalker
cycle-m19-precon-c	cycle-m19-precon-c
cycle-m19-precon-planeswalker	cycle-m19-precon-planeswalker
cycle-m19-precon-pw-enhanced	cycle-m19-precon-pw-enhanced
cycle-m19-precon-r	cycle-m19-precon-r
cycle-m19-signature-spell	cycle-m19-signature-spell
cycle-m19-typal-lord	cycle-m19-typal-lord
cycle-m20-cavalier	cycle-m20-cavalier
cycle-m20-chandra	cycle-m20-chandra
cycle-m20-color-artifact	cycle-m20-color-artifact
cycle-m20-doubles	cycle-m20-doubles
cycle-m20-draft-signpost	cycle-m20-draft-signpost
cycle-m20-enemy-hate	cycle-m20-enemy-hate
cycle-m20-iconic-legend	cycle-m20-iconic-legend
cycle-m20-leyline	cycle-m20-leyline
cycle-m20-planeswalker	cycle-m20-planeswalker
cycle-m20-precon-common	cycle-m20-precon-common
cycle-m20-precon-planeswalker	cycle-m20-precon-planeswalker
cycle-m20-precon-tutor	cycle-m20-precon-tutor
cycle-m20-precon-u	cycle-m20-precon-u
cycle-m20-protection-creature	cycle-m20-protection-creature
cycle-m20-same-name-enhanced	cycle-m20-same-name-enhanced
cycle-m20-wedge-legend	cycle-m20-wedge-legend
cycle-m21-basri-vertical	cycle-m21-basri-vertical
cycle-m21-chandra-vertical	cycle-m21-chandra-vertical
cycle-m21-draft-signpost	cycle-m21-draft-signpost
cycle-m21-garruk-vertical	cycle-m21-garruk-vertical
cycle-m21-liliana-vertical	cycle-m21-liliana-vertical
cycle-m21-mono-teferi-legend	cycle-m21-mono-teferi-legend
cycle-m21-planeswalker	cycle-m21-planeswalker
cycle-m21-precon-c	cycle-m21-precon-c
cycle-m21-precon-planeswalker	cycle-m21-precon-planeswalker
cycle-m21-precon-tutor	cycle-m21-precon-tutor
cycle-m21-precon-u	cycle-m21-precon-u
cycle-m21-r-typal	cycle-m21-r-typal
cycle-m21-sanctum	cycle-m21-sanctum
cycle-m21-teferi-vertical	cycle-m21-teferi-vertical
cycle-m3c-alt-commander	cycle-m3c-alt-commander
cycle-m3c-face-commander	cycle-m3c-face-commander
cycle-m3c-lhurgoyf	cycle-m3c-lhurgoyf
cycle-mb2-dual-land	cycle-mb2-dual-land
cycle-mbc-mono-planeswalker	cycle-mbc-mono-planeswalker
cycle-mbs-color-artifact	cycle-mbs-color-artifact
cycle-mbs-sun-zenith	cycle-mbs-sun-zenith
cycle-mh1-draft-signpost	cycle-mh1-draft-signpost
cycle-mh1-force	cycle-mh1-force
cycle-mh1-monocolor-legend	cycle-mh1-monocolor-legend
cycle-mh1-r-two-color	cycle-mh1-r-two-color
cycle-mh1-talisman	cycle-mh1-talisman
cycle-mh1-u-sliver	cycle-mh1-u-sliver
cycle-mh2-basic-landcycler	cycle-mh2-basic-landcycler
cycle-mh2-bridge	cycle-mh2-bridge
cycle-mh2-c-draft-signpost	cycle-mh2-c-draft-signpost
cycle-mh2-converge	cycle-mh2-converge
cycle-mh2-draft-signpost	cycle-mh2-draft-signpost
cycle-mh2-incarnation	cycle-mh2-incarnation
cycle-mh2-no-mana-cost-suspend	cycle-mh2-no-mana-cost-suspend
cycle-mh2-r-two-color-new	cycle-mh2-r-two-color-new
cycle-mh2-u-draft-signpost	cycle-mh2-u-draft-signpost
cycle-mh3-c-draft-signpost	cycle-mh3-c-draft-signpost
cycle-mh3-draft-signpost	cycle-mh3-draft-signpost
cycle-mh3-energy-reservedlist	cycle-mh3-energy-reservedlist
cycle-mh3-flare	cycle-mh3-flare
cycle-mh3-flip-walker	cycle-mh3-flip-walker
cycle-mh3-landscape	cycle-mh3-landscape
cycle-mh3-mdfc-dual-land	cycle-mh3-mdfc-dual-land
cycle-mh3-mdfc-mono-land	cycle-mh3-mdfc-mono-land
cycle-mh3-r-m-two-color	cycle-mh3-r-m-two-color
cycle-mh3-r-mono-land	cycle-mh3-r-mono-land
cycle-mh3-saga	cycle-mh3-saga
cycle-mh3-u-draft-signpost	cycle-mh3-u-draft-signpost
cycle-mic-curse	cycle-mic-curse
cycle-mic-visions	cycle-mic-visions
cycle-mid-adversary	cycle-mid-adversary
cycle-mid-alt-transform	cycle-mid-alt-transform
cycle-mid-black-werewolf	cycle-mid-black-werewolf
cycle-mid-c-typal	cycle-mid-c-typal
cycle-mid-draft-signpost	cycle-mid-draft-signpost
cycle-mid-r-flashback	cycle-mid-r-flashback
cycle-mid-r-mono-werewolf	cycle-mid-r-mono-werewolf
cycle-mid-r-two-color-legend	cycle-mid-r-two-color-legend
cycle-mid-slowland	cycle-mid-slowland
cycle-mid-u-flashback	cycle-mid-u-flashback
cycle-mir-charm	cycle-mir-charm
cycle-mir-diamond	cycle-mir-diamond
cycle-mir-dragon	cycle-mir-dragon
cycle-mir-enemy-backward-hate	cycle-mir-enemy-backward-hate
cycle-mir-enemy-forward-hate	cycle-mir-enemy-forward-hate
cycle-mir-enemy-fw-protection	cycle-mir-enemy-fw-protection
cycle-mir-fetchland	cycle-mir-fetchland
cycle-mir-guildmage	cycle-mir-guildmage
cycle-mir-instantment	cycle-mir-instantment
cycle-mir-monocolor-enemy-hate	cycle-mir-monocolor-enemy-hate
cycle-mir-two-color-enemy-hate	cycle-mir-two-color-enemy-hate
cycle-mir-x-allied-spell	cycle-mir-x-allied-spell
cycle-mkc-alt-commander	cycle-mkc-alt-commander
cycle-mkc-face-commander	cycle-mkc-face-commander
cycle-mkm-draft-signpost	cycle-mkm-draft-signpost
cycle-mkm-hybrid-disguise	cycle-mkm-hybrid-disguise
cycle-mkm-m-two-color	cycle-mkm-m-two-color
cycle-mkm-r-2c-noncreature	cycle-mkm-r-2c-noncreature
cycle-mkm-r-case	cycle-mkm-r-case
cycle-mkm-r-two-color-legend	cycle-mkm-r-two-color-legend
cycle-mkm-split	cycle-mkm-split
cycle-mkm-u-gold-noncreature	cycle-mkm-u-gold-noncreature
cycle-mm2-draft-signpost	cycle-mm2-draft-signpost
cycle-mm2-enemy-hate	cycle-mm2-enemy-hate
cycle-mm2-r-two-color	cycle-mm2-r-two-color
cycle-mm3-draft-signpost	cycle-mm3-draft-signpost
cycle-mm3-r-tricolor	cycle-mm3-r-tricolor
cycle-mm3-r-two-color	cycle-mm3-r-two-color
cycle-mm3-u-tricolor	cycle-mm3-u-tricolor
cycle-mmq-ability-wall	cycle-mmq-ability-wall
cycle-mmq-alpha-spellshaper	cycle-mmq-alpha-spellshaper
cycle-mmq-c-spellshaper	cycle-mmq-c-spellshaper
cycle-mmq-cateran-recruiter	cycle-mmq-cateran-recruiter
cycle-mmq-depletion-land	cycle-mmq-depletion-land
cycle-mmq-enemy-hate	cycle-mmq-enemy-hate
cycle-mmq-flailing-creature	cycle-mmq-flailing-creature
cycle-mmq-flash-aura	cycle-mmq-flash-aura
cycle-mmq-legate	cycle-mmq-legate
cycle-mmq-monger	cycle-mmq-monger
cycle-mmq-pitchspell	cycle-mmq-pitchspell
cycle-mmq-r-spellshaper	cycle-mmq-r-spellshaper
cycle-mmq-ramos-artifact	cycle-mmq-ramos-artifact
cycle-mmq-ramosian-recruiter	cycle-mmq-ramosian-recruiter
cycle-mmq-rishadan-pirate	cycle-mmq-rishadan-pirate
cycle-mmq-storage-land	cycle-mmq-storage-land
cycle-mmq-u-spellshaper	cycle-mmq-u-spellshaper
cycle-mmq-unwilling-creature	cycle-mmq-unwilling-creature
cycle-moc-alt-commander	cycle-moc-alt-commander
cycle-moc-face-commander	cycle-moc-face-commander
cycle-moc-path	cycle-moc-path
cycle-moc-talent	cycle-moc-talent
cycle-mom-c-dfc	cycle-mom-c-dfc
cycle-mom-c-landcycler	cycle-mom-c-landcycler
cycle-mom-corrupted-dfc-leg	cycle-mom-corrupted-dfc-leg
cycle-mom-draft-signpost	cycle-mom-draft-signpost
cycle-mom-enemy-backward-dfc	cycle-mom-enemy-backward-dfc
cycle-mom-enemy-forward-dfc	cycle-mom-enemy-forward-dfc
cycle-mom-enemy-hate	cycle-mom-enemy-hate
cycle-mom-invasion-signpost	cycle-mom-invasion-signpost
cycle-mom-praetor	cycle-mom-praetor
cycle-mom-tricolor-team-up	cycle-mom-tricolor-team-up
cycle-mom-two-color-team-up	cycle-mom-two-color-team-up
cycle-mom-u-mono-invasion	cycle-mom-u-mono-invasion
cycle-mono-land	cycle-mono-land
cycle-monocolor-atog	cycle-monocolor-atog
cycle-monocolor-gatewatch-oath	cycle-monocolor-gatewatch-oath
cycle-mor-0-0-elemental	cycle-mor-0-0-elemental
cycle-mor-banneret	cycle-mor-banneret
cycle-mor-c-changeling	cycle-mor-c-changeling
cycle-mor-c-kinship	cycle-mor-c-kinship
cycle-mor-clashback-spell	cycle-mor-clashback-spell
cycle-mor-typal-counter-lord	cycle-mor-typal-counter-lord
cycle-mor-typal-equipment	cycle-mor-typal-equipment
cycle-mor-typal-reward-spell	cycle-mor-typal-reward-spell
cycle-mor-u-evoke	cycle-mor-u-evoke
cycle-mor-u-kinship	cycle-mor-u-kinship
cycle-morphling	cycle-morphling
cycle-mrd-artifact-land	cycle-mrd-artifact-land
cycle-mrd-c-entwine	cycle-mrd-c-entwine
cycle-mrd-golem	cycle-mrd-golem
cycle-mrd-mana-myr	cycle-mrd-mana-myr
cycle-mrd-r-color-artifact	cycle-mrd-r-color-artifact
cycle-mrd-replica	cycle-mrd-replica
cycle-mrd-shard	cycle-mrd-shard
cycle-mrd-slith	cycle-mrd-slith
cycle-mrd-spellbomb	cycle-mrd-spellbomb
cycle-mrd-talisman	cycle-mrd-talisman
cycle-mrd-tower	cycle-mrd-tower
cycle-msc-f4-spell	cycle-msc-f4-spell
cycle-msc-face-commander	cycle-msc-face-commander
cycle-msc-fantastic-four	cycle-msc-fantastic-four
cycle-msc-landcycler	cycle-msc-landcycler
cycle-msc-origin	cycle-msc-origin
cycle-msh-c-modal-teamwork	cycle-msh-c-modal-teamwork
cycle-msh-draft-signpost	cycle-msh-draft-signpost
cycle-msh-fantastic-four	cycle-msh-fantastic-four
cycle-msh-gainland	cycle-msh-gainland
cycle-msh-hybrid	cycle-msh-hybrid
cycle-msh-lair-dual	cycle-msh-lair-dual
cycle-msh-landcycler	cycle-msh-landcycler
cycle-msh-u-plan	cycle-msh-u-plan
cycle-napland	cycle-napland
cycle-ncc-alt-commander	cycle-ncc-alt-commander
cycle-ncc-confluence	cycle-ncc-confluence
cycle-ncc-enemy-multicolored	cycle-ncc-enemy-multicolored
cycle-ncc-face-commander	cycle-ncc-face-commander
cycle-ncc-r-two-color-legend	cycle-ncc-r-two-color-legend
cycle-ncc-tri-legend-reprint	cycle-ncc-tri-legend-reprint
cycle-nec-myojin	cycle-nec-myojin
cycle-nem-c-spellshaper	cycle-nem-c-spellshaper
cycle-nem-fading-creature	cycle-nem-fading-creature
cycle-nem-free-spell	cycle-nem-free-spell
cycle-nem-parallax	cycle-nem-parallax
cycle-nem-recruiter	cycle-nem-recruiter
cycle-nem-seal	cycle-nem-seal
cycle-neo-draft-signpost	cycle-neo-draft-signpost
cycle-neo-dragon	cycle-neo-dragon
cycle-neo-invoke	cycle-neo-invoke
cycle-neo-legendary-land	cycle-neo-legendary-land
cycle-neo-march	cycle-neo-march
cycle-neo-shrine	cycle-neo-shrine
cycle-nightscape-vertical	cycle-nightscape-vertical
cycle-nonmana-land	cycle-nonmana-land
cycle-nph-chancellor	cycle-nph-chancellor
cycle-nph-exarch	cycle-nph-exarch
cycle-nph-praetor	cycle-nph-praetor
cycle-nph-shrine	cycle-nph-shrine
cycle-nph-souleater	cycle-nph-souleater
cycle-ody-allied-atog	cycle-ody-allied-atog
cycle-ody-ally-filterland	cycle-ody-ally-filterland
cycle-ody-burst	cycle-ody-burst
cycle-ody-desire	cycle-ody-desire
cycle-ody-egg	cycle-ody-egg
cycle-ody-filterland	cycle-ody-filterland
cycle-ody-hound	cycle-ody-hound
cycle-ody-land-aura	cycle-ody-land-aura
cycle-ody-lhurgoyf	cycle-ody-lhurgoyf
cycle-ody-mmm-lord	cycle-ody-mmm-lord
cycle-ody-r-two-color	cycle-ody-r-two-color
cycle-ody-restock-creature	cycle-ody-restock-creature
cycle-ody-retriever	cycle-ody-retriever
cycle-ody-rites	cycle-ody-rites
cycle-ody-sacland	cycle-ody-sacland
cycle-ody-shrine	cycle-ody-shrine
cycle-ody-sphere	cycle-ody-sphere
cycle-ody-thought-beast	cycle-ody-thought-beast
cycle-ody-threshold-painland	cycle-ody-threshold-painland
cycle-ody-wincon-enchantment	cycle-ody-wincon-enchantment
cycle-ody-x-of-the-y	cycle-ody-x-of-the-y
cycle-ogw-draft-signpost	cycle-ogw-draft-signpost
cycle-ogw-tapland	cycle-ogw-tapland
cycle-one-colored-sphere	cycle-one-colored-sphere
cycle-one-dominus	cycle-one-dominus
cycle-one-draft-signpost	cycle-one-draft-signpost
cycle-one-r-two-color	cycle-one-r-two-color
cycle-one-skullbomb	cycle-one-skullbomb
cycle-one-sun-twilight	cycle-one-sun-twilight
cycle-ons-aura-crown	cycle-ons-aura-crown
cycle-ons-avatar	cycle-ons-avatar
cycle-ons-c-cycle-effect	cycle-ons-c-cycle-effect
cycle-ons-chain-spell	cycle-ons-chain-spell
cycle-ons-charm	cycle-ons-charm
cycle-ons-courier	cycle-ons-courier
cycle-ons-cycling-matters	cycle-ons-cycling-matters
cycle-ons-fetchland	cycle-ons-fetchland
cycle-ons-lord	cycle-ons-lord
cycle-ons-m-cycling-land	cycle-ons-m-cycling-land
cycle-ons-pit-fighter	cycle-ons-pit-fighter
cycle-ons-symbiotic-vertical	cycle-ons-symbiotic-vertical
cycle-ons-typal-land	cycle-ons-typal-land
cycle-ons-u-cycle-effect	cycle-ons-u-cycle-effect
cycle-ons-word	cycle-ons-word
cycle-ori-c-spell-mastery	cycle-ori-c-spell-mastery
cycle-ori-draft-signpost	cycle-ori-draft-signpost
cycle-ori-flip-walker	cycle-ori-flip-walker
cycle-ori-mentor	cycle-ori-mentor
cycle-ori-pivotal-moment	cycle-ori-pivotal-moment
cycle-ori-plane-enchantment	cycle-ori-plane-enchantment
cycle-ori-r-spell-mastery	cycle-ori-r-spell-mastery
cycle-ori-same-name-enhanced	cycle-ori-same-name-enhanced
cycle-ori-u-spell-mastery	cycle-ori-u-spell-mastery
cycle-otc-alt-commander	cycle-otc-alt-commander
cycle-otc-face-commander	cycle-otc-face-commander
cycle-otj-draft-signpost	cycle-otj-draft-signpost
cycle-otj-join-up	cycle-otj-join-up
cycle-otj-pingland	cycle-otj-pingland
cycle-otj-r-monocolor-mount	cycle-otj-r-monocolor-mount
cycle-otj-u-legend	cycle-otj-u-legend
cycle-painland	cycle-painland
cycle-pathway	cycle-pathway
cycle-pc2-legend	cycle-pc2-legend
cycle-pcy-ability-losing-creature	cycle-pcy-ability-losing-creature
cycle-pcy-avatar	cycle-pcy-avatar
cycle-pcy-field-aura	cycle-pcy-field-aura
cycle-pcy-legendary-spellshaper	cycle-pcy-legendary-spellshaper
cycle-pcy-pitchspell	cycle-pcy-pitchspell
cycle-pcy-rhystic-bonus	cycle-pcy-rhystic-bonus
cycle-pcy-spellshaper-aura	cycle-pcy-spellshaper-aura
cycle-pcy-wind	cycle-pcy-wind
cycle-phyrexian-er	cycle-phyrexian-er
cycle-pip-alt-commander	cycle-pip-alt-commander
cycle-pip-enemy-filterland	cycle-pip-enemy-filterland
cycle-pip-face-commander	cycle-pip-face-commander
cycle-playtest-dual-land	cycle-playtest-dual-land
cycle-plc-alternate-reality-legend	cycle-plc-alternate-reality-legend
cycle-plc-c-sliver	cycle-plc-c-sliver
cycle-plc-charm	cycle-plc-charm
cycle-plc-enemy-sliver	cycle-plc-enemy-sliver
cycle-plc-extortion-vertical	cycle-plc-extortion-vertical
cycle-plc-magus	cycle-plc-magus
cycle-plc-primeval-dragon	cycle-plc-primeval-dragon
cycle-plc-rescue-vertical	cycle-plc-rescue-vertical
cycle-plc-spellshaper	cycle-plc-spellshaper
cycle-plc-split-vertical	cycle-plc-split-vertical
cycle-plc-suspend-x-creature	cycle-plc-suspend-x-creature
cycle-plc-tsb-colorshift	cycle-plc-tsb-colorshift
cycle-plc-u-vanishing-creature	cycle-plc-u-vanishing-creature
cycle-pls-battlemage	cycle-pls-battlemage
cycle-pls-c-gating-creature	cycle-pls-c-gating-creature
cycle-pls-c-two-color	cycle-pls-c-two-color
cycle-pls-cantrip	cycle-pls-cantrip
cycle-pls-familiar	cycle-pls-familiar
cycle-pls-lair	cycle-pls-lair
cycle-pls-primeval-charm	cycle-pls-primeval-charm
cycle-pls-pw-enchantment	cycle-pls-pw-enchantment
cycle-pls-r-tricolor	cycle-pls-r-tricolor
cycle-pls-r-two-color	cycle-pls-r-two-color
cycle-pls-sacland-kicker-spell	cycle-pls-sacland-kicker-spell
cycle-pls-u-gating-creature	cycle-pls-u-gating-creature
cycle-primeval-dragon	cycle-primeval-dragon
cycle-rav-backward-ability	cycle-rav-backward-ability
cycle-rav-backward-boost	cycle-rav-backward-boost
cycle-rav-bounceland	cycle-rav-bounceland
cycle-rav-etb-aura	cycle-rav-etb-aura
cycle-rav-forward-ability	cycle-rav-forward-ability
cycle-rav-forward-boost	cycle-rav-forward-boost
cycle-rav-guild-artifact	cycle-rav-guild-artifact
cycle-rav-guildhall	cycle-rav-guildhall
cycle-rav-guildmaster	cycle-rav-guildmaster
cycle-rav-hunted-creature	cycle-rav-hunted-creature
cycle-rav-mmn	cycle-rav-mmn
cycle-rav-shockland	cycle-rav-shockland
cycle-rav-signet	cycle-rav-signet
cycle-restless-land	cycle-restless-land
cycle-restock-legendary-land	cycle-restock-legendary-land
cycle-reveal-land	cycle-reveal-land
cycle-rix-c-typal-boost	cycle-rix-c-typal-boost
cycle-rix-draft-signpost	cycle-rix-draft-signpost
cycle-rix-elder-dinosaur	cycle-rix-elder-dinosaur
cycle-rix-forerunner	cycle-rix-forerunner
cycle-rix-immortal-sun-purpose	cycle-rix-immortal-sun-purpose
cycle-rix-legendary-transform	cycle-rix-legendary-transform
cycle-rix-m-monocolor	cycle-rix-m-monocolor
cycle-rix-typal-revealer	cycle-rix-typal-revealer
cycle-rna-c-guild-ability	cycle-rna-c-guild-ability
cycle-rna-guild-champion	cycle-rna-guild-champion
cycle-rna-guild-color-ability	cycle-rna-guild-color-ability
cycle-rna-guildmage	cycle-rna-guildmage
cycle-rna-guildmaster	cycle-rna-guildmaster
cycle-rna-hybrid-creature	cycle-rna-hybrid-creature
cycle-rna-locket	cycle-rna-locket
cycle-rna-m-guild-spell	cycle-rna-m-guild-spell
cycle-rna-m-monocolor	cycle-rna-m-monocolor
cycle-rna-mmnn	cycle-rna-mmnn
cycle-rna-r-split	cycle-rna-r-split
cycle-rna-u-split	cycle-rna-u-split
cycle-roe-invoker	cycle-roe-invoker
cycle-roe-r-leveler	cycle-roe-r-leveler
cycle-rtr-land-aura	cycle-rtr-land-aura
cycle-rtr-m-monocolor	cycle-rtr-m-monocolor
cycle-rtr-m-two-color	cycle-rtr-m-two-color
cycle-rtr-uncounterable-spell	cycle-rtr-uncounterable-spell
cycle-rvr-c-hybrid	cycle-rvr-c-hybrid
cycle-rvr-c-two-color	cycle-rvr-c-two-color
cycle-rvr-r-guild-spell	cycle-rvr-r-guild-spell
cycle-rvr-r-mono-legend	cycle-rvr-r-mono-legend
cycle-rvr-r-two-color-legend	cycle-rvr-r-two-color-legend
cycle-rvr-u-two-color	cycle-rvr-u-two-color
cycle-s99-vanilla-1-drop	cycle-s99-vanilla-1-drop
cycle-scd-face-commander	cycle-scd-face-commander
cycle-scg-5m-landcycler	cycle-scg-5m-landcycler
cycle-scg-c-storm-instant	cycle-scg-c-storm-instant
cycle-scg-decree	cycle-scg-decree
cycle-scg-dragon-aura	cycle-scg-dragon-aura
cycle-scg-mv-matters	cycle-scg-mv-matters
cycle-scg-warchief	cycle-scg-warchief
cycle-shm-allied-conspire	cycle-shm-allied-conspire
cycle-shm-allied-scarecrow	cycle-shm-allied-scarecrow
cycle-shm-allied-selfboost	cycle-shm-allied-selfboost
cycle-shm-avatar	cycle-shm-avatar
cycle-shm-basic-land-count	cycle-shm-basic-land-count
cycle-shm-c-hybrid-1-drop	cycle-shm-c-hybrid-1-drop
cycle-shm-cohort	cycle-shm-cohort
cycle-shm-demigod-aura	cycle-shm-demigod-aura
cycle-shm-duo	cycle-shm-duo
cycle-shm-filterland	cycle-shm-filterland
cycle-shm-hate-enhanced-spell	cycle-shm-hate-enhanced-spell
cycle-shm-hideaway-creature	cycle-shm-hideaway-creature
cycle-shm-hybrid-modal	cycle-shm-hybrid-modal
cycle-shm-initiate	cycle-shm-initiate
cycle-shm-liege	cycle-shm-liege
cycle-shm-mentor	cycle-shm-mentor
cycle-shm-monocolored-conspire	cycle-shm-monocolored-conspire
cycle-shm-permanent-count	cycle-shm-permanent-count
cycle-shm-r-persist	cycle-shm-r-persist
cycle-shm-reflection	cycle-shm-reflection
cycle-shm-twobrid-spell	cycle-shm-twobrid-spell
cycle-shm-u-hybrid-3-drop	cycle-shm-u-hybrid-3-drop
cycle-shm-unblockable-enemy	cycle-shm-unblockable-enemy
cycle-shm-untap	cycle-shm-untap
cycle-shm-utilityland	cycle-shm-utilityland
cycle-shm-wisps	cycle-shm-wisps
cycle-shm-witch	cycle-shm-witch
cycle-shrine	cycle-shrine
cycle-slowland	cycle-slowland
cycle-snc-ascendancy	cycle-snc-ascendancy
cycle-snc-c-signpost	cycle-snc-c-signpost
cycle-snc-c-tapland	cycle-snc-c-tapland
cycle-snc-charm	cycle-snc-charm
cycle-snc-color-hate	cycle-snc-color-hate
cycle-snc-draft-signpost	cycle-snc-draft-signpost
cycle-snc-fetchland	cycle-snc-fetchland
cycle-snc-fixer	cycle-snc-fixer
cycle-snc-hideaway	cycle-snc-hideaway
cycle-snc-hybrid-legend	cycle-snc-hybrid-legend
cycle-snc-initiate	cycle-snc-initiate
cycle-snc-leader	cycle-snc-leader
cycle-snc-r-shard-removal	cycle-snc-r-shard-removal
cycle-snc-r-tricolor	cycle-snc-r-tricolor
cycle-snc-r-two-color	cycle-snc-r-two-color
cycle-snc-triland	cycle-snc-triland
cycle-snc-u-legend	cycle-snc-u-legend
cycle-snc-u-mno-henchman	cycle-snc-u-mno-henchman
cycle-snc-u-signpost-creature	cycle-snc-u-signpost-creature
cycle-snc-u-signpost-nonc	cycle-snc-u-signpost-nonc
cycle-soc-alt-commander	cycle-soc-alt-commander
cycle-soc-face-commander	cycle-soc-face-commander
cycle-soc-guest-lecturer	cycle-soc-guest-lecturer
cycle-soc-octoland	cycle-soc-octoland
cycle-soc-two-color-prepare	cycle-soc-two-color-prepare
cycle-soi-c-typal-boost	cycle-soi-c-typal-boost
cycle-soi-crazed-creature	cycle-soi-crazed-creature
cycle-soi-draft-signpost	cycle-soi-draft-signpost
cycle-soi-r-tdfc	cycle-soi-r-tdfc
cycle-soi-r-two-color	cycle-soi-r-two-color
cycle-soi-reveal-land	cycle-soi-reveal-land
cycle-soi-tapland	cycle-soi-tapland
cycle-soi-typal-lord	cycle-soi-typal-lord
cycle-soi-vessel	cycle-soi-vessel
cycle-soi-x-madness-sorcery	cycle-soi-x-madness-sorcery
cycle-sok-epic-sorcery	cycle-sok-epic-sorcery
cycle-sok-flip-ascendant	cycle-sok-flip-ascendant
cycle-sok-ghostlit-kami	cycle-sok-ghostlit-kami
cycle-sok-legendary-kirin	cycle-sok-legendary-kirin
cycle-sok-maro-creature	cycle-sok-maro-creature
cycle-sok-maro-spell	cycle-sok-maro-spell
cycle-sok-onna	cycle-sok-onna
cycle-sok-shinen	cycle-sok-shinen
cycle-sok-upkeep-rescue	cycle-sok-upkeep-rescue
cycle-som-1mv-combat-trick	cycle-som-1mv-combat-trick
cycle-som-c-metalcraft	cycle-som-c-metalcraft
cycle-som-color-artifact	cycle-som-color-artifact
cycle-som-fastland	cycle-som-fastland
cycle-som-replica	cycle-som-replica
cycle-som-smith	cycle-som-smith
cycle-som-spellbomb	cycle-som-spellbomb
cycle-som-trigon	cycle-som-trigon
cycle-som-vanilla-creature	cycle-som-vanilla-creature
cycle-sorcery-magus	cycle-sorcery-magus
cycle-sos-a-a-b-b	cycle-sos-a{a/b}b
cycle-sos-charm	cycle-sos-charm
cycle-sos-draft-signpost	cycle-sos-draft-signpost
cycle-sos-dragon	cycle-sos-dragon
cycle-sos-emeritus	cycle-sos-emeritus
cycle-sos-lesson	cycle-sos-lesson
cycle-sos-mascot	cycle-sos-mascot
cycle-sos-mono-u-legend	cycle-sos-mono-u-legend
cycle-sos-r-2c-legend	cycle-sos-r-2c-legend
cycle-sos-student	cycle-sos-student
cycle-sos-surveil-dual	cycle-sos-surveil-dual
cycle-spe-c-creature	cycle-spe-c-creature
cycle-spe-face-legend	cycle-spe-face-legend
cycle-spe-u-legend	cycle-spe-u-legend
cycle-spellshaped-from-fut	cycle-spellshaped-from-fut
cycle-spirit-avatar	cycle-spirit-avatar
cycle-spm-c-hybrid	cycle-spm-c-hybrid
cycle-spm-c-legend	cycle-spm-c-legend
